season,round_name,team1,team2,winner
2008,R64,BYU,Texas A&M,Texas A&M
2008,R64,Butler,South Alabama,Butler
2008,R64,Clemson,Villanova,Villanova
2008,R64,Connecticut,San Diego,San Diego
2008,R64,Drake,Western Kentucky,Western Kentucky
2008,R64,Duke,Belmont,Duke
2008,R64,Georgetown,UMBC,Georgetown
2008,R64,Gonzaga,Davidson,Davidson
2008,R64,Indiana,Arkansas,Arkansas
2008,R64,Kansas,Portland St.,Kansas
2008,R64,Louisville,Boise St.,Louisville
2008,R64,Marquette,Kentucky,Marquette
2008,R64,Memphis,UT Arlington,Memphis
2008,R64,Miami FL,Saint Mary's,Miami FL
2008,R64,Michigan St.,Temple,Michigan St.
2008,R64,Mississippi St.,Oregon,Mississippi St.
2008,R64,North Carolina,Mount St. Mary's,North Carolina
2008,R64,Notre Dame,George Mason,Notre Dame
2008,R64,Oklahoma,Saint Joseph's,Oklahoma
2008,R64,Pittsburgh,Oral Roberts,Pittsburgh
2008,R64,Purdue,Baylor,Purdue
2008,R64,Stanford,Cornell,Stanford
2008,R64,Tennessee,American,Tennessee
2008,R64,Texas,Austin Peay,Texas
2008,R64,UCLA,Mississippi Valley St.,UCLA
2008,R64,UNLV,Kent St.,UNLV
2008,R64,USC,Kansas St.,Kansas St.
2008,R64,Vanderbilt,Siena,Siena
2008,R64,Washington St.,Winthrop,Washington St.
2008,R64,West Virginia,Arizona,West Virginia
2008,R64,Wisconsin,Cal St. Fullerton,Wisconsin
2008,R64,Xavier,Georgia,Xavier
2008,R32,Butler,Tennessee,Tennessee
2008,R32,Davidson,Georgetown,Davidson
2008,R32,Kansas,UNLV,Kansas
2008,R32,Kansas St.,Wisconsin,Wisconsin
2008,R32,Marquette,Stanford,Stanford
2008,R32,Memphis,Mississippi St.,Memphis
2008,R32,Miami FL,Texas,Texas
2008,R32,Michigan St.,Pittsburgh,Michigan St.
2008,R32,North Carolina,Arkansas,North Carolina
2008,R32,Notre Dame,Washington St.,Washington St.
2008,R32,Oklahoma,Louisville,Louisville
2008,R32,Purdue,Xavier,Xavier
2008,R32,UCLA,Texas A&M,UCLA
2008,R32,Villanova,Siena,Villanova
2008,R32,West Virginia,Duke,West Virginia
2008,R32,Western Kentucky,San Diego,Western Kentucky
2008,S16,Kansas,Villanova,Kansas
2008,S16,Louisville,Tennessee,Louisville
2008,S16,Memphis,Michigan St.,Memphis
2008,S16,North Carolina,Washington St.,North Carolina
2008,S16,Stanford,Texas,Texas
2008,S16,UCLA,Western Kentucky,UCLA
2008,S16,Wisconsin,Davidson,Davidson
2008,S16,Xavier,West Virginia,Xavier
2008,E8,Kansas,Davidson,Kansas
2008,E8,Memphis,Texas,Memphis
2008,E8,North Carolina,Louisville,North Carolina
2008,E8,UCLA,Xavier,UCLA
2008,F4,Memphis,UCLA,Memphis
2008,F4,North Carolina,Kansas,Kansas
2008,Final,Kansas,Memphis,Kansas
2009,R64,Arizona St.,Temple,Arizona St.
2009,R64,BYU,Texas A&M,Texas A&M
2009,R64,Boston College,USC,USC
2009,R64,California,Maryland,Maryland
2009,R64,Clemson,Michigan,Michigan
2009,R64,Connecticut,Chattanooga,Connecticut
2009,R64,Duke,Binghamton,Duke
2009,R64,Florida St.,Wisconsin,Wisconsin
2009,R64,Gonzaga,Akron,Gonzaga
2009,R64,Illinois,Western Kentucky,Western Kentucky
2009,R64,Kansas,North Dakota St.,Kansas
2009,R64,LSU,Butler,LSU
2009,R64,Louisville,Morehead St.,Louisville
2009,R64,Marquette,Utah St.,Marquette
2009,R64,Memphis,Cal St. Northridge,Memphis
2009,R64,Michigan St.,Robert Morris,Michigan St.
2009,R64,Missouri,Cornell,Missouri
2009,R64,North Carolina,Radford,North Carolina
2009,R64,Ohio St.,Siena,Siena
2009,R64,Oklahoma,Morgan St.,Oklahoma
2009,R64,Oklahoma St.,Tennessee,Oklahoma St.
2009,R64,Pittsburgh,East Tennessee St.,Pittsburgh
2009,R64,Purdue,Northern Iowa,Purdue
2009,R64,Syracuse,Stephen F. Austin,Syracuse
2009,R64,Texas,Minnesota,Texas
2009,R64,UCLA,VCU,UCLA
2009,R64,Utah,Arizona,Arizona
2009,R64,Villanova,American,Villanova
2009,R64,Wake Forest,Cleveland St.,Cleveland St.
2009,R64,Washington,Mississippi St.,Washington
2009,R64,West Virginia,Dayton,Dayton
2009,R64,Xavier,Portland St.,Xavier
2009,R32,Arizona,Cleveland St.,Arizona
2009,R32,Arizona St.,Syracuse,Syracuse
2009,R32,Connecticut,Texas A&M,Connecticut
2009,R32,Dayton,Kansas,Kansas
2009,R32,Louisville,Siena,Louisville
2009,R32,Marquette,Missouri,Missouri
2009,R32,Maryland,Memphis,Memphis
2009,R32,Michigan,Oklahoma,Oklahoma
2009,R32,North Carolina,LSU,North Carolina
2009,R32,Pittsburgh,Oklahoma St.,Pittsburgh
2009,R32,Purdue,Washington,Purdue
2009,R32,Texas,Duke,Duke
2009,R32,UCLA,Villanova,Villanova
2009,R32,USC,Michigan St.,Michigan St.
2009,R32,Western Kentucky,Gonzaga,Gonzaga
2009,R32,Wisconsin,Xavier,Xavier
2009,S16,Connecticut,Purdue,Connecticut
2009,S16,Kansas,Michigan St.,Michigan St.
2009,S16,Louisville,Arizona,Louisville
2009,S16,Missouri,Memphis,Missouri
2009,S16,North Carolina,Gonzaga,North Carolina
2009,S16,Pittsburgh,Xavier,Pittsburgh
2009,S16,Syracuse,Oklahoma,Oklahoma
2009,S16,Villanova,Duke,Villanova
2009,E8,Connecticut,Missouri,Connecticut
2009,E8,Louisville,Michigan St.,Michigan St.
2009,E8,North Carolina,Oklahoma,North Carolina
2009,E8,Pittsburgh,Villanova,Villanova
2009,F4,Michigan St.,Connecticut,Michigan St.
2009,F4,Villanova,North Carolina,North Carolina
2009,Final,Michigan St.,North Carolina,North Carolina
2010,R64,BYU,Florida,BYU
2010,R64,Baylor,Sam Houston St.,Baylor
2010,R64,Butler,UTEP,Butler
2010,R64,California,Louisville,California
2010,R64,Clemson,Missouri,Missouri
2010,R64,Duke,Arkansas Pine Bluff,Duke
2010,R64,Georgetown,Ohio,Ohio
2010,R64,Gonzaga,Florida St.,Gonzaga
2010,R64,Kansas,Lehigh,Kansas
2010,R64,Kansas St.,North Texas,Kansas St.
2010,R64,Kentucky,East Tennessee St.,Kentucky
2010,R64,Marquette,Washington,Washington
2010,R64,Maryland,Houston,Maryland
2010,R64,Michigan St.,New Mexico St.,Michigan St.
2010,R64,New Mexico,Montana,New Mexico
2010,R64,Notre Dame,Old Dominion,Old Dominion
2010,R64,Ohio St.,UC Santa Barbara,Ohio St.
2010,R64,Oklahoma St.,Georgia Tech,Georgia Tech
2010,R64,Pittsburgh,Oakland,Pittsburgh
2010,R64,Purdue,Siena,Purdue
2010,R64,Richmond,Saint Mary's,Saint Mary's
2010,R64,Syracuse,Vermont,Syracuse
2010,R64,Temple,Cornell,Cornell
2010,R64,Tennessee,San Diego St.,Tennessee
2010,R64,Texas,Wake Forest,Wake Forest
2010,R64,Texas A&M,Utah St.,Texas A&M
2010,R64,UNLV,Northern Iowa,Northern Iowa
2010,R64,Vanderbilt,Murray St.,Murray St.
2010,R64,Villanova,Robert Morris,Villanova
2010,R64,West Virginia,Morgan St.,West Virginia
2010,R64,Wisconsin,Wofford,Wisconsin
2010,R64,Xavier,Minnesota,Xavier
2010,R32,BYU,Kansas St.,Kansas St.
2010,R32,Butler,Murray St.,Butler
2010,R32,Cornell,Wisconsin,Cornell
2010,R32,Duke,California,Duke
2010,R32,Georgia Tech,Ohio St.,Ohio St.
2010,R32,Kansas,Northern Iowa,Northern Iowa
2010,R32,Kentucky,Wake Forest,Kentucky
2010,R32,Michigan St.,Maryland,Michigan St.
2010,R32,Missouri,West Virginia,West Virginia
2010,R32,Old Dominion,Baylor,Baylor
2010,R32,Saint Mary's,Villanova,Saint Mary's
2010,R32,Syracuse,Gonzaga,Syracuse
2010,R32,Tennessee,Ohio,Tennessee
2010,R32,Texas A&M,Purdue,Purdue
2010,R32,Washington,New Mexico,Washington
2010,R32,Xavier,Pittsburgh,Xavier
2010,S16,Baylor,Saint Mary's,Baylor
2010,S16,Duke,Purdue,Duke
2010,S16,Kentucky,Cornell,Kentucky
2010,S16,Northern Iowa,Michigan St.,Michigan St.
2010,S16,Syracuse,Butler,Butler
2010,S16,Tennessee,Ohio St.,Tennessee
2010,S16,Washington,West Virginia,West Virginia
2010,S16,Xavier,Kansas St.,Kansas St.
2010,E8,Butler,Kansas St.,Butler
2010,E8,Duke,Baylor,Duke
2010,E8,Kentucky,West Virginia,West Virginia
2010,E8,Michigan St.,Tennessee,Michigan St.
2010,F4,Michigan St.,Butler,Butler
2010,F4,West Virginia,Duke,Duke
2010,Final,Butler,Duke,Duke
2011,R64,Arizona,Memphis,Arizona
2011,R64,BYU,Wofford,BYU
2011,R64,Butler,Old Dominion,Butler
2011,R64,Cincinnati,Missouri,Cincinnati
2011,R64,Connecticut,Bucknell,Connecticut
2011,R64,Duke,Hampton,Duke
2011,R64,Florida,UC Santa Barbara,Florida
2011,R64,George Mason,Villanova,George Mason
2011,R64,Georgetown,VCU,VCU
2011,R64,Kansas,Boston University,Kansas
2011,R64,Kansas St.,Utah St.,Kansas St.
2011,R64,Kentucky,Princeton,Kentucky
2011,R64,Louisville,Morehead St.,Morehead St.
2011,R64,Michigan,Tennessee,Michigan
2011,R64,North Carolina,LIU Brooklyn,North Carolina
2011,R64,Notre Dame,Akron,Notre Dame
2011,R64,Ohio St.,UTSA,Ohio St.
2011,R64,Pittsburgh,UNC Asheville,Pittsburgh
2011,R64,Purdue,Saint Peter's,Purdue
2011,R64,San Diego St.,Northern Colorado,San Diego St.
2011,R64,St. John's,Gonzaga,Gonzaga
2011,R64,Syracuse,Indiana St.,Syracuse
2011,R64,Temple,Penn St.,Temple
2011,R64,Texas,Oakland,Texas
2011,R64,Texas A&M,Florida St.,Florida St.
2011,R64,UCLA,Michigan St.,UCLA
2011,R64,UNLV,Illinois,Illinois
2011,R64,Vanderbilt,Richmond,Richmond
2011,R64,Washington,Georgia,Washington
2011,R64,West Virginia,Clemson,West Virginia
2011,R64,Wisconsin,Belmont,Wisconsin
2011,R64,Xavier,Marquette,Marquette
2011,R32,Arizona,Texas,Arizona
2011,R32,Cincinnati,Connecticut,Connecticut
2011,R32,Duke,Michigan,Duke
2011,R32,Florida St.,Notre Dame,Florida St.
2011,R32,Gonzaga,BYU,BYU
2011,R32,Kansas,Illinois,Kansas
2011,R32,Kansas St.,Wisconsin,Wisconsin
2011,R32,Marquette,Syracuse,Marquette
2011,R32,Ohio St.,George Mason,Ohio St.
2011,R32,Pittsburgh,Butler,Butler
2011,R32,Richmond,Morehead St.,Richmond
2011,R32,Temple,San Diego St.,San Diego St.
2011,R32,UCLA,Florida,Florida
2011,R32,VCU,Purdue,VCU
2011,R32,Washington,North Carolina,North Carolina
2011,R32,West Virginia,Kentucky,Kentucky
2011,S16,BYU,Florida,Florida
2011,S16,Butler,Wisconsin,Butler
2011,S16,Connecticut,San Diego St.,Connecticut
2011,S16,Duke,Arizona,Arizona
2011,S16,Kansas,Richmond,Kansas
2011,S16,Marquette,North Carolina,North Carolina
2011,S16,Ohio St.,Kentucky,Kentucky
2011,S16,VCU,Florida St.,VCU
2011,E8,Arizona,Connecticut,Connecticut
2011,E8,Butler,Florida,Butler
2011,E8,Kansas,VCU,VCU
2011,E8,Kentucky,North Carolina,Kentucky
2011,F4,Kentucky,Connecticut,Connecticut
2011,F4,VCU,Butler,Butler
2011,Final,Connecticut,Butler,Connecticut
2012,R64,Baylor,South Dakota St.,Baylor
2012,R64,Cincinnati,Texas,Cincinnati
2012,R64,Creighton,Alabama,Creighton
2012,R64,Duke,Lehigh,Lehigh
2012,R64,Florida,Virginia,Florida
2012,R64,Florida St.,St. Bonaventure,Florida St.
2012,R64,Georgetown,Belmont,Georgetown
2012,R64,Gonzaga,West Virginia,Gonzaga
2012,R64,Indiana,New Mexico St.,Indiana
2012,R64,Iowa St.,Connecticut,Iowa St.
2012,R64,Kansas,Detroit,Kansas
2012,R64,Kansas St.,Southern Miss,Kansas St.
2012,R64,Kentucky,Western Kentucky,Kentucky
2012,R64,Louisville,Davidson,Louisville
2012,R64,Marquette,BYU,Marquette
2012,R64,Memphis,Saint Louis,Saint Louis
2012,R64,Michigan,Ohio,Ohio
2012,R64,Michigan St.,LIU Brooklyn,Michigan St.
2012,R64,Missouri,Norfolk St.,Norfolk St.
2012,R64,Murray St.,Colorado St.,Murray St.
2012,R64,New Mexico,Long Beach St.,New Mexico
2012,R64,North Carolina,Vermont,North Carolina
2012,R64,Notre Dame,Xavier,Xavier
2012,R64,Ohio St.,Loyola MD,Ohio St.
2012,R64,Saint Mary's,Purdue,Purdue
2012,R64,San Diego St.,North Carolina St.,North Carolina St.
2012,R64,Syracuse,UNC Asheville,Syracuse
2012,R64,Temple,South Florida,South Florida
2012,R64,UNLV,Colorado,Colorado
2012,R64,Vanderbilt,Harvard,Vanderbilt
2012,R64,Wichita St.,VCU,VCU
2012,R64,Wisconsin,Montana,Wisconsin
2012,R32,Cincinnati,Florida St.,Cincinnati
2012,R32,Colorado,Baylor,Baylor
2012,R32,Florida,Norfolk St.,Florida
2012,R32,Gonzaga,Ohio St.,Ohio St.
2012,R32,Kentucky,Iowa St.,Kentucky
2012,R32,Michigan St.,Saint Louis,Michigan St.
2012,R32,Murray St.,Marquette,Marquette
2012,R32,New Mexico,Louisville,Louisville
2012,R32,North Carolina,Creighton,North Carolina
2012,R32,North Carolina St.,Georgetown,North Carolina St.
2012,R32,Purdue,Kansas,Kansas
2012,R32,South Florida,Ohio,Ohio
2012,R32,Syracuse,Kansas St.,Syracuse
