team,region,seed,wins,losses,win_pct,net_rank,rank_strength,seed_strength,power_score,elo
Duke,East,1,32,2,0.9411764705882353,1,1.0,1.0,96.76470588235294,1597.975529589964
Arizona,West,1,32,2,0.9411764705882353,3,0.9933110367892977,1.0,96.53059216997836,1597.0390747404656
Michigan,Midwest,1,31,3,0.9117647058823529,2,0.9966555183946488,1.0,95.03000196734212,1591.0367139299206
Gonzaga,West,3,30,3,0.9090909090909091,7,0.979933110367893,0.8666666666666667,92.96432552954292,1582.7740081787238
Connecticut,East,2,29,5,0.8529411764705882,10,0.9698996655518395,0.9333333333333333,90.19158633353007,1571.6830513946725
Virginia,Midwest,3,29,5,0.8529411764705882,12,0.9632107023411371,0.8666666666666667,89.29080595448882,1568.0799298785073
Houston,South,2,28,6,0.8235294117647058,5,0.9866220735785953,0.9333333333333333,89.159223555643,1567.553600283124
Florida,South,1,26,7,0.7878787878787878,4,0.9899665551839465,1.0,87.98216276477146,1562.845357119638
Iowa State,Midwest,2,27,7,0.7941176470588235,6,0.9832775919732442,0.9333333333333333,87.42451964063217,1560.6147846230808
Nebraska,South,4,26,6,0.8125,14,0.9565217391304348,0.8,86.16576086956522,1555.579749538813
Saint John's,East,5,28,6,0.8235294117647058,16,0.9498327759197325,0.7333333333333334,85.8715981375828,1554.4030986108833
Purdue,West,2,27,8,0.7714285714285715,9,0.9732441471571907,0.9333333333333333,85.82544991240646,1554.2185057101779
Michigan State,East,3,25,7,0.78125,11,0.9665551839464883,0.8666666666666667,85.46484810479376,1552.7760984797271
Saint Mary's College,South,7,26,5,0.8387096774193549,22,0.9297658862876255,0.6,84.67083827813143,1549.6000591730779
Illinois,South,3,24,8,0.75,8,0.9765886287625418,0.8666666666666667,84.09726867335563,1547.3057807539747
Miami (OH),West,11,28,1,0.9655172413793104,64,0.7892976588628763,0.33333333333333337,84.06219966939608,1547.1655047381364
Arkansas,West,4,26,8,0.7647058823529411,15,0.9531772575250836,0.8,83.4200275427897,1544.5968162317108
Vanderbilt,South,5,26,8,0.7647058823529411,13,0.959866220735786,0.7333333333333334,82.9874745884976,1542.8666044145425
Saint Louis,Midwest,9,27,5,0.84375,31,0.8996655518394648,0.4666666666666667,82.56121098104794,1541.161549984744
Utah State,West,9,27,6,0.8181818181818182,26,0.9163879598662208,0.4666666666666667,81.7402452619844,1537.8776871084897
Alabama,Midwest,4,23,9,0.71875,18,0.9431438127090301,0.8,80.54128344481606,1533.0818398398164
North Carolina,South,6,24,8,0.75,24,0.9230769230769231,0.6666666666666667,80.22435897435898,1531.814141957988
Miami (FL),West,7,25,8,0.7575757575757576,32,0.8963210702341137,0.6,79.03790412486065,1527.0683225599946
Kansas,East,4,23,10,0.696969696969697,21,0.9331103678929766,0.8,78.99219620958753,1526.8854908989024
Wisconsin,West,5,24,10,0.7058823529411765,25,0.919732441471572,0.7333333333333334,78.34749819660306,1524.3066988469643
Louisville,East,6,23,10,0.696969696969697,17,0.9464882943143813,0.6666666666666667,78.12709030100335,1523.4250672645655
Texas Tech,Midwest,5,22,10,0.6875,19,0.939799331103679,0.7333333333333334,78.0388099219621,1523.0719457484006
Akron,Midwest,12,27,5,0.84375,54,0.822742474916388,0.2666666666666667,77.86890328874026,1522.3923192155132
Villanova,West,8,24,8,0.75,35,0.8862876254180602,0.5333333333333333,77.60340022296545,1521.330306952414
McNeese,South,12,26,5,0.8387096774193549,56,0.8160535117056856,0.2666666666666667,77.35757183443017,1520.3469933982728
VCU,South,11,27,7,0.7941176470588235,43,0.8595317725752508,0.33333333333333337,77.0934159617024,1519.2903699073618
High Point,West,12,27,4,0.8709677419354839,75,0.7525083612040133,0.2666666666666667,76.90768511525874,1518.547446521587
BYU,West,6,23,11,0.6764705882352942,23,0.9264214046822743,0.6666666666666667,76.29729818348746,1516.105898794502
Tennessee,Midwest,6,22,11,0.6666666666666666,20,0.9364548494983278,0.6666666666666667,76.10925306577481,1515.3537183236513
Santa Clara,Midwest,10,25,8,0.7575757575757576,40,0.8695652173913043,0.4,76.10144927536233,1515.3225031620013
Clemson,South,8,24,10,0.7058823529411765,34,0.8896321070234113,0.5333333333333333,75.29398649091745,1512.092652024222
UCLA,East,7,23,11,0.6764705882352942,30,0.903010033444816,0.6,74.81123352350974,1510.1616401545912
South Florida,East,11,24,8,0.75,45,0.8528428093645485,0.33333333333333337,74.43283166109252,1508.6480327049221
Georgia,Midwest,8,22,10,0.6875,33,0.8929765886287625,0.5333333333333333,74.40001393534003,1508.5167618019123
Ohio State,East,8,21,12,0.6363636363636364,29,0.9063545150501673,0.5333333333333333,72.0557413600892,1499.139671500909
TCU,East,9,22,11,0.6666666666666666,39,0.8729096989966555,0.4666666666666667,71.88517279821627,1498.4573972534172
Kentucky,Midwest,7,21,13,0.6176470588235294,28,0.9096989966555185,0.6,71.81005311823728,1498.1569185335013
Iowa,South,9,21,12,0.6363636363636364,27,0.9130434782608696,0.4666666666666667,71.6231884057971,1497.4094596837406
Texas A&M,South,10,21,11,0.65625,44,0.8561872909698997,0.4,70.0603051839465,1491.1579267963382
UCF,East,10,21,11,0.65625,51,0.8327759197324415,0.4,69.24090719063545,1487.880334823094
NC State,Midwest,11,20,13,0.6060606060606061,36,0.882943143812709,0.33333333333333337,67.56967670011149,1481.1954128609982
SMU,West,11,20,13,0.6060606060606061,37,0.8795986622073578,0.33333333333333337,67.4526198439242,1480.7271854362489
California Baptist,East,13,25,8,0.7575757575757576,98,0.6755852842809364,0.19999999999999996,67.31215161649943,1480.1653125265498
Missouri,West,10,20,12,0.625,58,0.8093645484949833,0.4,66.70275919732443,1477.7277428498498
North Dakota State,East,14,24,7,0.7741935483870968,114,0.6220735785953178,0.1333333333333333,65.68655374545978,1473.6629210423912
Hawai'i,West,13,22,8,0.7333333333333333,101,0.6655518394648829,0.19999999999999996,65.62764771460424,1473.4272969189692
Northern Iowa,East,12,22,12,0.6470588235294118,72,0.7625418060200668,0.2666666666666667,64.94386517148665,1470.6921667464987
Hofstra,Midwest,13,22,10,0.6875,88,0.7090301003344481,0.19999999999999996,64.62855351170569,1469.430920107375
